name,brand,category,description,unit,quantity,servings,flavors,benefits,allergens,certifications,dosage,priceRetail,pricePurchase,priceWholesale,priceSlashed,stock,featured,metaTitle,metaDescription
Maca - 90 Capsules,Real Pharm,boosters,"Maca - 90 Capsules de Real Pharm, booster naturel pour optimiser vos niveaux hormonaux, votre vitalité et vos performances physiques. Ingrédients naturels concentrés.",gélule,90,45,,Vitalité libido amélioration 42-65% études cliniques|Énergie générale augmentée endurance quotidienne|Performance sexuelle masculine soutien hormonal naturel|Adaptogène stress réduction cortisol régulation|Fertilité masculine support spermatogenèse|Confiance mentale bien-être général amélioration,"CONTIENT: Gélatine bovine (non-végétarien). Traces possibles: GLUTEN, SOJA (atelier partagé). SANS: colorants synthétiques, conservateurs artificiels, OGM. .",GMP|ISO 9001|EFSA,"2 gélules (1000mg extrait) quotidien avec repas. Minimum 4-6 semaines cure résultats, optimal 8-12 semaines, longue durée sécurisée.",65,35,50,,100,false,Maca - 90 Capsules | Real Pharm | Dodo Nutrition,Maca - 90 Capsules de Real Pharm. Booster hormonal de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Fish Oil Omega-3 - 30 Capsules,GSN,vitamines,Fish Oil Omega-3 de GSN fournit les acides aminés essentiels dont vos muscles ont besoin pour une récupération optimale et une croissance musculaire maximale.,gélule,30,30,,Santé cardiovasculaire cœur fonction normale|Triglycérides réduction cholestérol équilibre|Fonction cérébrale mémoire concentration|Vision normale rétine protection DHA|Anti-inflammatoire articulations douleurs réduites|Pression artérielle régulation naturelle,"CONTIENT: Poisson (huile extraite poissons gras), gélatine poisson/bovine. Traces possibles: crustacés, soja (atelier).",GMP|ISO 9001,"1 gélule quotidien avec repas. Minimum 4-8 semaines résultats, optimal 12-16 semaines cardiovasculaire longue durée",30,15,25,,100,false,Fish Oil Omega-3 - 30 Capsules | GSN | Dodo Nutrition,Fish Oil Omega-3 - 30 Capsules de GSN. Vitamines et minéraux de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Mass Gainer Zero - 7kg,Eric Favre,gainers,Mass Gainer Zero de Eric Favre est le mass gainer parfait pour les pratiquants de musculation qui ont du mal à prendre du poids et de la masse musculaire.,kilogramme,7,50,Chocolat|Vanille|Cookies & Cream|Pistache,Apport calorique élevé 517 kcal/dose 140g prise masse rapide|Sans sucres AJOUTÉS sucres naturels uniquement|Double source protéines Whey+Isolat croissance musculaire optimale|Double source glucides Maltodextrine+Glucose assimilation progressive|Limite prise graisse pendant phases prise masse|Convient sportifs surveillance glycémie,"Contient: LAIT. Traces possibles: GLUTEN, ŒUFS, SÉSAME, NOIX, CÉLERI, SULFITES, SOJA, POISSON, CRUSTACÉS",,3 cuillères doseuses (140g) dans 300-400ml eau ou lait,840,460,655,,100,false,Mass Gainer Zero - 7kg | Eric Favre | Dodo Nutrition,Mass Gainer Zero - 7kg de Eric Favre. Gainer prise de masse de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Real Mass - 6.8kg,Real Pharm,gainers,Real Mass de Real Pharm est le mass gainer parfait pour les pratiquants de musculation qui ont du mal à prendre du poids et de la masse musculaire.,kilogramme,6.8,90,Chocolat|Vanille|Banane|Fraise|Caramel|Tiramisu,4 sources protéines absorption progressive optimale (rapide+lente)|282 kcal/dose apport énergétique élevé|BCAA 17.42g/100g protéines anti-catabolisme muscle|4 sources glucides énergie immédiate+prolongée|EAA complets 37.19g/100g profil acides aminés|Glutamine 14g/100g récupération cellulaire,"Contient: LAIT. Traces possibles: SOJA, GLUTEN, ŒUFS, POISSON, CRUSTACÉS, SULFITES.",,75g (2 cuillères doseuses) dans 150-250ml eau ou lait. Consommer 2 fois/jour (après training + collation). Jusqu'à 4 fois/jour selon besoins (max 300g/jour),815,450,635,,100,true,Real Mass - 6.8kg | Real Pharm | Dodo Nutrition,Real Mass - 6.8kg de Real Pharm. Gainer prise de masse de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Real Mass Gold Edition - 3kg,Real Pharm,gainers,Real Mass Gold Edition de Real Pharm est le mass gainer parfait pour les pratiquants de musculation qui ont du mal à prendre du poids et de la masse musculaire.,kilogramme,3,40,Chocolat|Vanille|Vanille-Berry,20% protéines concentration élevée vs Real Mass standard|12 Vitamines couverture micronutriments optimale (C E A B-complex)|5 Minéraux essentiels (Ca Mg K P Na) équilibre électrolytes|Glucides sains Maltodextrine Dextrose Avoine énergie progressive|Croissance musculaire rapide phases prise masse|Récupération accélérée micronutriments antioxydants,"Contient: LAIT (concentration élevée lait premium). Traces possibles: GLUTEN, SOJA, ŒUFS. Gélatine option.",,"75g (2 cuillères) dans 250-300ml eau ou lait, 1-3 portions/jour selon besoins caloriques objectifs",360,200,280,,100,false,Real Mass Gold Edition - 3kg | Real Pharm | Dodo Nutrition,Real Mass Gold Edition - 3kg de Real Pharm. Gainer prise de masse de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Mag+ B-Complex - 30 Capsules,GSN,vitamines,"Mag+ B-Complex de GSN offre une formule complète de vitamines et minéraux essentiels pour soutenir votre santé globale, votre système immunitaire et optimiser vos performances sportives. Indispensable pour les athlètes qui s'entraînent intensément et ont des besoins nutritionnels accrus.",gélule,30,30,,Énergie métabolisme énergétique ATP production|Fonction musculaire contraction relaxation crampes prévention|Système nerveux transmission nerveuse équilibre|Réduction fatigue physique mentale chronique|Stress anxiété gestion équilibre psychologique|Sommeil qualité amélioration magnésium relaxation,"(magnésium minéral synthétique vitamines). Traces possibles: gluten, soja (atelier).",GMP|ISO 9001,"1 gélule quotidien avec repas. Minimum 4 semaines résultats, optimal 8-12 semaines, longue durée sécurisée",30,15,25,,100,false,Mag+ B-Complex - 30 Capsules | GSN | Dodo Nutrition,Mag+ B-Complex - 30 Capsules de GSN. Vitamines et minéraux de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Big Mass Gainer - 3kg,GSN,gainers,Big Mass Gainer de GSN est le mass gainer parfait pour les pratiquants de musculation qui ont du mal à prendre du poids et de la masse musculaire.,kilogramme,3,17,Multiples: Chocolat|Fraise|Vanille (selon batch),Apport calorique MASSIF 1351 kcal/dose prise masse rapide hard gainers ultra-difficiles|Protéines 80g densité ultra-concentrée synthèse musculaire optimale|Créatine 3g force explosive ATP production endurance|BCAA 18g anti-catabolisme protection muscle maigre|Glucides 250g énergie progressive entraînement soutenu|Double source protéines absorption duplex,"CONTIENT: LAIT (whey protéines, caséinate), SOJA (lécithine). Traces: GLUTEN, ŒUFS, GRAINES SÉSAME, FRUITS À COQUE (atelier). .",GMP,180g (2 scoops) dans 350ml eau/lait par dose = 1351 kcal. 1 dose/jour standard. 2 doses/jour accélération intensive prise mass (2702 kcal gainer). Cure 4-8 semaines prise mass rapide.,360,200,280,,100,false,Big Mass Gainer - 3kg | GSN | Dodo Nutrition,Big Mass Gainer - 3kg de GSN. Gainer prise de masse de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Muscle ON - 2.27kg,Real Pharm,gainers,Muscle ON de Real Pharm est le mass gainer parfait pour les pratiquants de musculation qui ont du mal à prendre du poids et de la masse musculaire.,kilogramme,2.27,30,Chocolate Hazelnut|Strawberry Ice Cream|Vanilla|Banana|Caramel,Ratio 45/45 optimal équilibré|4 sources protéines absorption progressive|MCT oil énergie hépatique rapide|BCAA anti-catabolisme performance|Glutamine 4.2g récupération|10 vitamines essentielles couverture micronutriments,"Contient: LAIT. Traces possibles: SOJA, GLUTEN, ŒUFS. .",,"75g (1 dosette) dans 250ml eau/lait, 1-2 doses/jour selon besoins caloriques. Post-training prioritaire.",270,150,210,,100,false,Muscle ON - 2.27kg | Real Pharm | Dodo Nutrition,Muscle ON - 2.27kg de Real Pharm. Gainer prise de masse de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Citrulline Malate - 200g,Real Pharm,acides-amines,Citrulline Malate de Real Pharm fournit les acides aminés essentiels dont vos muscles ont besoin pour une récupération optimale et une croissance musculaire maximale.,gramme,200,66,Lemon Orange|Exotic|Raspberry-Strawberry|Forest Fruit,NO production oxyde nitrique pump vasculaire intense|Circulation sanguine optimale nutriments-oxygène muscles|Précurseur arginine 50-100% plus efficace vs arginine directe|Endurance training prolongé sans fatigue extrême|Récupération accélérée ATP énergie cellulaire|Réduction ammoniaque sensation fatigue,Traces: gluten soja (atelier partage). .,EFSA,"3g (1 dosette) dans 130-150ml eau, 1 fois/jour 30min AVANT training. Maximum 1 dose/jour recommandé (3g), ne pas dépasser.",45,25,35,,100,false,Citrulline Malate - 200g | Real Pharm | Dodo Nutrition,Citrulline Malate - 200g de Real Pharm. Acides aminés de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Ashwagandha 100% Naturel - 90g,Real Pharm,boosters,"Ashwagandha 100% Naturel - 90g de Real Pharm, booster naturel pour optimiser vos niveaux hormonaux, votre vitalité et vos performances physiques. Ingrédients naturels concentrés.",comprimé,90,45,,Réduction stress cortisol withanolides|Amélioration qualité sommeil relaxation|Vitalité énergie générale tonique|Support système nerveux équilibre émotionnel|Récupération post-training musculaire|Concentration focus mental amélioré,"Traces possibles: GLUTEN, SOJA (atelier). .",GMP|ISO 9001|EFSA,"2 comprimés/jour dose standard (600mg). Minimum 1/jour maintenance. Maximum 4/jour tolérance établie. Cure 4-6 semaines résultats, optimal 8-12 semaines, longue durée sécurisée.",65,35,50,,100,false,Ashwagandha 100% Naturel - 90g | Real Pharm | Dodo Nutrition,Ashwagandha 100% Naturel - 90g de Real Pharm. Booster hormonal de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Vitamin Shock - 300g,Real Pharm,vitamines,"Vitamin Shock 300g de Real Pharm offre une formule complète de vitamines et minéraux essentiels pour soutenir votre santé globale, votre système immunitaire et optimiser vos performances sportives. Indispensable pour les athlètes qui s'entraînent intensément et ont des besoins nutritionnels accrus.",gramme,300,30,Unique (Orange ou Citron selon batch),Immunitaire renforce défenses naturelles 25+ nutriments|Antioxydant C E polyphénols citrus protection cellulaire|Énergétique métabolisme optimal B vitamins ATP|Thermorégulation Thé Vert + Ashwagandha + NAC|Récupération post-training micronutriments essentiels réparation musculaire|Performance mentale focus concentration B6 B12 folate,PEUT CONTENIR: GLUTEN (atelier partagé équipement). principal. .,GMP|ISO 9001|EFSA,1 dose 10g dans 200-250ml eau par jour. Maximum 1 dose/jour (iode 450µg vigilance thyroïde). Anytime flexible nutrition quotidienne. Cure continue sans interruption sauf consultation médecin.,35,20,25,,100,false,Vitamin Shock - 300g | Real Pharm | Dodo Nutrition,Vitamin Shock - 300g de Real Pharm. Vitamines et minéraux de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
RED REX Big Mass - 5.44kg,Big Ramy Labs,gainers,RED REX Big Mass de Big Ramy Labs est le mass gainer parfait pour les pratiquants de musculation qui ont du mal à prendre du poids et de la masse musculaire.,kilogramme,5.44,16,Chocolat (primary)|Multiples selon batch,Apport calorique MASSIF 1310 kcal/dose prise masse rapide ectomorphes|Double source protéines absorption optimale synthèse protéine musculaire|Créatine 16g/dose force explosive endurance augmentée 15-20%|Glutamine récupération cellulaire immunitaire support|Double source glucides énergie progressive sans crash|BCAA complets anti-catabolisme protection muscle maigre,"CONTIENT: LAIT (whey protéines concentrées). Traces possibles: GLUTEN, SOJA, ŒUFS, POISSON, CRUSTACÉS, SULFITES (atelier). .",,"320g (4 scoops) dans 800-1000ml eau/lait par dose. 1-2 doses/jour selon besoins caloriques objectifs. JOURS TRAINING: 2 doses (post-workout + collation). JOURS REPOS: 1-2 doses selon faim objectives. Cure minimum 4 semaines, optimal 6-8 semaines prise mass.",655,360,510,,100,false,RED REX Big Mass - 5.44kg | Big Ramy Labs | Dodo Nutrition,RED REX Big Mass - 5.44kg de Big Ramy Labs. Gainer prise de masse de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Nitro Whey - 2kg,GSN,proteines,"Nitro Whey - 2kg de GSN est une protéine premium pour la croissance et la récupération musculaire. Formule riche en acides aminés essentiels, idéale après l'entraînement.",kilogramme,2,67,Multiples: Chocolat|Fraise|Vanille (selon batch),Synthèse protéine musculaire 22g dense dose optimal BCAA naturels whey|Recovery post-training accelerée absorption rapide PDCAAS 0.99|Créatine 2g force explosive endurance ATP production|Croissance musculaire maigre lean gains definition propre|Densité nutritionnel 22g protéine / 120 kcal ultra-efficace|Absorption rapide PDCAAS 0.99 utilisation protéine maximale,"CONTIENT: LAIT (whey protéines), SOJA (lécithine). Traces: GLUTEN, ŒUFS, FRUITS À COQUE, GRAINES SÉSAME, CÉLERI, SULFITES (atelier). .",GMP,30g (1 scoop) dans 250ml eau/lait par dose = 22g protéine + 2g créatine. Anytime flexible moment prise. Maximum 60g (2 scoops)/jour = 44g protéine (tolérance établie). Cure continue journalière optimal sans interruption (protéine sûre chronique).,260,145,205,,100,false,Nitro Whey - 2kg | GSN | Dodo Nutrition,Nitro Whey - 2kg de GSN est une protéine premium pour la croissance et la récupération musculaire. Livraison rapide en Tunisie.
Vitamax MEN - 60g,Real Pharm,vitamines,"Vitamax MEN de Real Pharm offre une formule complète de vitamines et minéraux essentiels pour soutenir votre santé globale, votre système immunitaire et optimiser vos performances sportives. Indispensable pour les athlètes qui s'entraînent intensément et ont des besoins nutritionnels accrus.",comprimé,60,30,,Multivitamine complète couvre 20+ déficiences micronutriment diététiques modernes|Énergétique Ginseng Sibérien adaptogène + B vitamines ATP production|Support hormonal prostate Saw Palmetto + Zn optimisation DHT libre|Système immunitaire Vitamines C A Zn Se cofacteurs défense|Vision Vitamine A oculaire protection|Cardiovasculaire Magnésium Calcium K régulation tension,TRACES POSSIBLES: Gluten possible atelier. .,GMP|ISO 9001|EFSA,"2 comprimés/jour dose standard (couverture 100% VQ plupart), Prendre 1 comprimé matin + 1 soir régularité absorption, Maximum 2 comprimés/jour (iode 150µg total), Minimum 1 comprimé/jour maintenance légère flex, Cure continue sans interruption sauf consultation médecin",40,20,30,,100,false,Vitamax MEN - 60g | Real Pharm | Dodo Nutrition,Vitamax MEN - 60g de Real Pharm. Vitamines et minéraux de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
100% Mass Gainer - 2.33kg,MuscleTech,gainers,100% Mass Gainer de MuscleTech est le mass gainer parfait pour les pratiquants de musculation qui ont du mal à prendre du poids et de la masse musculaire.,kilogramme,2.33,6,Multiples: Chocolat|Vanille|Fraise (selon batch),Apport calorique MASSIF 1330-1500 kcal/dose prise masse rapide hard gainers ectomorphes difficultés|Double source protéines absorption duplex synthèse musculaire optimale (concentré+isolat+hydrolyzé)|Créatine 5g/dose force explosive endurance augmentation 15-20% études|L-Glutamine 7.5g recovery cellulaire immunitaire support|BCAA complets anti-catabolisme protection muscle maigre durant surplus calorique|ModCarb complex glucides progression saine fibre minéraux vs dextrose simple crash,"CONTIENT: LAIT (whey concentré isolate caséinate, lactose traces). PEUT CONTENIR TRACES: SOJA (lecithin), ŒUFS, POISSON, CRUSTACÉS, ARRACHIDES (atelier). .",,357g (6 scoops) dans 475ml eau/lait par dose = 1330-1500 kcal. 1 dose/jour standard maintenance nutrition. 2 doses/jour accélération prise mass intensive (2600-3000 kcal gainer supplement). JOURS TRAINING: post-workout prioritaire fenêtre anabolique.,280,155,220,,100,false,100% Mass Gainer - 2.33kg | MuscleTech | Dodo Nutrition,100% Mass Gainer - 2.33kg de MuscleTech. Gainer prise de masse de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Mass-Tech® Elite - 2.72kg,MuscleTech,gainers,Mass-Tech® Elite de MuscleTech est le mass gainer parfait pour les pratiquants de musculation qui ont du mal à prendre du poids et de la masse musculaire.,kilogramme,2.72,11,Multiples: Vanille|Chocolat|Fraise|Vanilla Cake (selon batch),Apport calorique MASSIF 1010-1043 kcal/dose prise masse rapide hard gainers ectomorphes ultra-difficiles|Protéines multiphase 63-80g absorption duplex 24h synthèse protéine musculaire optimale optimale|Créatine 10g HARDCORE force explosive endurance +15-20% études cliniques|L-Glutamine recovery cellulaire immunitaire support high-stress training|BCAA complets anti-catabolisme protection muscle maigre durant surplus calorique|ModCarb 5 sources glucides énergie progressive fibre minéraux vs dextrose crash,"CONTIENT: LAIT (whey, caséine, albumine œuf, lactose traces). Traces possibles: GLUTEN, ARACHIDES, CRUSTACÉS (atelier). .",,230g (5 scoops) eau froide = 1010 kcal dose standard classique. 240g lait écrémé 510ml = 1043 kcal dosage maximal absorbable. 1 dose/jour standard nutrition supplement. 2 doses/jour accélération HARDCORE prise mass intensive (2020-2086 kcal gainer suppl total).,325,180,255,,100,false,Mass-Tech® Elite - 2.72kg | MuscleTech | Dodo Nutrition,Mass-Tech® Elite - 2.72kg de MuscleTech. Gainer prise de masse de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
Bulk Mass BREON Signature - 3kg,Yava Labs,gainers,Bulk Mass BREON Signature de Yava Labs est le mass gainer parfait pour les pratiquants de musculation qui ont du mal à prendre du poids et de la masse musculaire.,kilogramme,3,15,Multiples: Cookies Cream|Chocolat Coconut|Fraise|Vanille (selon batch),Prise masse MAIGRE muscle pur 76% glucides / 27% protéines optimal lean gain|Créatine 2g modérée force raisonnable ATP production|Protéines 48g whey qualité synthèse protéine musculaire directe|Glucides 138g énergie progressive entraînement soutenu|Lipides minimal 2.5g faible graisse déposition clean gain|Équilibre calories 720 kcal MODÉRÉ vs 1000+ hardcore (contrôle prise gras),"CONTIENT: LAIT (whey, lactose). Traces possibles: GLUTEN, ŒUFS, GRAINES SÉSAME, FRUITS À COQUE, CÉLERI (atelier partagé). .",,200g (3.5 scoops) dans 400-500ml eau par dose = ~720 kcal. 1 dose/jour standard maintenance nutrition. 1-2 doses/jour flexible selon besoins caloriques. POST-WORKOUT: 200g 30-45min après (recovery fenêtre anabolique). MATIN: 200g petit-déjeuner énergie soutenue.,360,200,280,,100,false,Bulk Mass BREON Signature - 3kg | Yava Labs | Dodo Nutrition,Bulk Mass BREON Signature - 3kg de Yava Labs. Gainer prise de masse de qualité pour vos objectifs fitness. Livraison rapide partout en Tunisie.
